SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
23,yhz,Female,19,Right,2,5,6,1,3,3,2,1,1,2,0,1.41082061485758
23,yhz,Female,19,Right,5,2,1,2,1,1,2,1,1,2,0,3.52727361945836
23,yhz,Female,19,Right,4,1,2,2,1,1,2,1,2,1,0,0.857228762557497
23,yhz,Female,19,Right,5,6,1,3,3,1,1,1,1,1,1,2.69532230000004
23,yhz,Female,19,Right,5,6,3,3,3,2,1,1,1,1,1,0.430650958220212
23,yhz,Female,19,Right,1,5,6,1,3,3,2,1,1,2,0,1.75289971485745
23,yhz,Female,19,Right,4,2,1,2,1,1,2,1,1,1,1,1.04246670184875
23,yhz,Female,19,Right,1,2,5,1,1,3,1,2,2,2,1,1.09628822786635
23,yhz,Female,19,Right,1,4,6,1,2,3,3,2,2,2,1,0.903927819193996
23,yhz,Female,19,Right,1,6,4,1,3,2,3,2,1,1,1,0.827513519193417
23,yhz,Female,19,Right,2,4,3,1,2,2,2,1,2,1,0,1.13007112786636
23,yhz,Female,19,Right,6,2,1,2,1,1,2,1,1,1,1,2.17238260618433
23,yhz,Female,19,Right,1,2,4,1,1,2,1,2,2,2,1,1.02516784954878
23,yhz,Female,19,Right,1,3,4,1,2,2,2,2,2,2,1,1.61631472786667
23,yhz,Female,19,Right,2,1,3,1,1,2,1,2,2,2,1,1.087421119194
23,yhz,Female,19,Right,4,3,5,2,2,3,1,1,1,1,1,0.543458414857923
23,yhz,Female,19,Right,2,4,5,1,2,3,3,1,1,1,1,0.821461523530161
23,yhz,Female,19,Right,1,3,5,1,2,3,3,1,1,1,1,0.924267336538833
23,yhz,Female,19,Right,1,5,3,1,3,2,3,1,2,2,1,0.395147180167442
23,yhz,Female,19,Right,3,4,2,2,2,1,1,1,1,1,1,15.9631853408764
23,yhz,Female,19,Right,2,5,3,1,3,2,3,1,2,2,1,0.622722006184631
23,yhz,Female,19,Right,1,4,3,1,2,2,2,1,2,1,0,1.17747813653932
23,yhz,Female,19,Right,3,2,1,2,1,1,2,1,1,1,1,1.14214905901281
23,yhz,Female,19,Right,2,5,4,1,3,2,3,1,2,2,1,1.16416001919424
23,yhz,Female,19,Right,2,3,6,1,2,3,3,2,2,2,1,1.64138389317577
23,yhz,Female,19,Right,2,6,3,1,3,2,3,1,2,2,1,0.471234014858055
23,yhz,Female,19,Right,4,3,6,2,2,3,1,1,1,1,1,0.544133106184745
23,yhz,Female,19,Right,5,6,2,3,3,1,1,1,1,1,1,3.03421814087596
23,yhz,Female,19,Right,4,3,2,2,2,1,1,1,1,1,1,0.392384340875651
23,yhz,Female,19,Right,6,5,2,3,3,1,1,1,1,1,1,0.548578336538412
23,yhz,Female,19,Right,3,1,2,2,1,1,2,1,2,1,0,1.42605883220222
23,yhz,Female,19,Right,6,5,1,3,3,1,1,1,1,1,1,0.464883545212615
23,yhz,Female,19,Right,2,6,4,1,3,2,3,1,2,2,1,0.590108480167146
23,yhz,Female,19,Right,2,3,4,1,2,2,2,2,2,1,0,1.16643547688727
23,yhz,Female,19,Right,1,2,3,1,1,2,1,1,1,1,1,0.139436897512496
23,yhz,Female,19,Right,5,1,2,2,1,1,2,1,2,2,1,0.585622514858187
23,yhz,Female,19,Right,2,1,6,1,1,3,1,2,2,2,1,0.390320214858548
23,yhz,Female,19,Right,6,5,3,3,3,2,1,1,1,1,1,0.390310019193748
23,yhz,Female,19,Right,2,3,5,1,2,3,3,1,1,1,1,1.1941622148579
23,yhz,Female,19,Right,1,5,4,1,3,2,3,2,1,1,1,0.914314784503404
23,yhz,Female,19,Right,1,3,6,1,2,3,3,2,2,2,1,1.72954478884003
23,yhz,Female,19,Right,2,6,5,1,3,3,2,1,2,2,1,0.947870736538789
23,yhz,Female,19,Right,6,1,2,2,1,1,2,1,2,2,1,0.785732893175918
23,yhz,Female,19,Right,2,4,6,1,2,3,3,1,1,1,1,1.17014171485789
23,yhz,Female,19,Right,1,6,3,1,3,2,3,2,1,1,1,1.08703211485772
23,yhz,Female,19,Right,1,4,5,1,2,3,3,1,1,1,1,0.887382014857394
23,yhz,Female,19,Right,3,4,1,2,2,1,1,1,1,1,1,0.231547258220417
23,yhz,Female,19,Right,1,6,5,1,3,3,2,1,2,2,1,0.905981458485257
