SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
37,pqh,Male,20,Right,1,1,22.38,231.26,5,3,194.333,160.39,?,108.3565,195.825,0,118,114,164.073154415949,30.5191276877531,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,2,1,171.58,236.855,?,245.2475,293.551,0,220,32,222.315091705444,39.3238053789091,,,,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,3,2,249.537,218.205,?,135.9585,224.7325,0,148,98,177.504929509014,45.6417179877526,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,1,1,22.38,231.26,?,170.6475,290.7535,1,242,84,256.164009962368,23.2691644877523,210,224,24.0300120789097,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,3,2,249.537,218.205,P,210.5585,227.53,2,128,16,128.996123972777,39.3230932789093,152,308,27.7971162346912,184,252,54.5013441877527
37,pqh,Male,20,Right,1,1,22.38,231.26,5,3,194.333,160.39,?,108.3565,195.825,1,116,122,168.344884092152,11.0397801700647,122,116,29.235103478909,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,6,3,273.782,33.943,?,222.681,135.399,2,180,134,224.401426020424,45.3956288877525,198,202,37.4140091877525,161.895328087514,159.997259069509,73.0694654877525
37,pqh,Male,20,Right,6,3,273.782,33.943,1,1,22.38,231.26,?,148.081,132.6015,1,214,68,224.54398232863,29.6670815789084,160,128,25.8626303789088,,,
37,pqh,Male,20,Right,3,2,249.537,218.205,1,1,22.38,231.26,?,135.9585,224.7325,2,146,118,187.723200484117,18.5772718877533,140,238,46.6970713789087,184,200,71.2301478170029
37,pqh,Male,20,Right,6,3,273.782,33.943,4,2,318.915,350.247,?,296.3485,192.095,0,40,144,149.452333538155,46.4145976789096,,,,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,5,3,194.333,160.39,O,182.9565,198.6225,0,60,208,216.480946043757,87.7470790877533,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,4,2,318.915,350.247,?,256.624,255.3185,0,146,184,234.887206973901,23.8580577877528,,,,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,3,2,249.537,218.205,P,210.5585,227.53,0,122,12,122.588743365776,38.5102024789085,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,3,2,249.537,218.205,?,284.226,284.226,1,122,40,128.390030765632,54.7323587789087,266,272,27.553895478909,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,5,3,194.333,160.39,?,234.0575,97.1665,2,112,28,115.446957517294,27.0631086877529,240,136,105.524981287753,268,190,86.970958378909
37,pqh,Male,20,Right,6,3,273.782,33.943,1,1,22.38,231.26,?,148.081,132.6015,0,220,82,234.78500803927,59.537202087753,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,4,2,318.915,350.247,?,256.624,255.3185,0,140,162,214.112120161377,23.3742205877534,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,6,3,273.782,33.943,?,296.3485,192.095,0,44,148,154.40207252495,13.7504214700657,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,6,3,273.782,33.943,?,234.0575,97.1665,1,114,44,122.196562963121,14.078823287753,226,98,79.4298116700656,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,1,1,22.38,231.26,?,96.98,234.0575,2,19.9999999999998,88,90.2441133814278,17.4876222877529,94,212,22.228142987753,154,150,30.663486078909
37,pqh,Male,20,Right,5,3,194.333,160.39,1,1,22.38,231.26,?,108.3565,195.825,1,128,122,176.82759965571,54.3099277877527,122,114,12.5247294877527,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,3,2,249.537,218.205,?,261.6595,126.074,2,50,174,181.041431722134,95.6065110789086,256,204,28.0006930700647,206,160,139.488806678909
37,pqh,Male,20,Right,2,1,171.58,236.855,4,2,318.915,350.247,?,245.2475,293.551,0,228,40,231.482180739685,30.6093365346906,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,3,2,249.537,218.205,O,221.935,189.2975,1,42,196,200.449494885869,17.1459250700655,44,224,53.6602100877535,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,4,2,318.915,350.247,?,296.3485,192.095,2,44,114,122.196562963121,40.8809907877521,324,184,29.5150838789095,258,182,82.8290398993167
37,pqh,Male,20,Right,3,2,249.537,218.205,5,3,194.333,160.39,O,221.935,189.2975,1,44,158,164.012194668567,21.396462278909,206,168,27.1051766877536,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,3,2,249.537,218.205,?,261.6595,126.074,2,68,162,175.692913915161,34.4326651877527,234,186,14.6420983789085,214,204,57.0659871789094
37,pqh,Male,20,Right,6,3,273.782,33.943,2,1,171.58,236.855,?,222.681,135.399,1,226,190,295.255821280462,68.804002378909,166,188,14.8193647789085,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,5,3,194.333,160.39,?,108.3565,195.825,2,119.790943073465,117.989043790737,168.140668777909,10.5603327789086,132,130,7.69527908775308,152,166,23.4670771700648
37,pqh,Male,20,Right,6,3,273.782,33.943,3,2,249.537,218.205,?,261.6595,126.074,0,54,176,184.097800095493,92.2148636789088,,,,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,5,3,194.333,160.39,?,234.0575,97.1665,1,126,38,131.605471010897,25.7675398789088,234,90,23.4095894789089,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,3,2,249.537,218.205,?,284.226,284.226,2,112,68,131.026714833274,44.5284125700646,270,268,68.2703186789095,252,172,35.4113955877529
37,pqh,Male,20,Right,3,2,249.537,218.205,2,1,171.58,236.855,P,210.5585,227.53,0,190,20,191.049731745428,105.480122587753,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,5,3,194.333,160.39,?,256.624,255.3185,0,134,168,214.895323355349,14.4197666877526,,,,,,
37,pqh,Male,20,Right,3,2,249.537,218.205,1,1,22.38,231.26,?,135.9585,224.7325,0,126,104,163.376864947275,30.0408007993165,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,2,1,171.58,236.855,O,182.9565,198.6225,1,78,152,170.844958954018,72.9688803789086,136,174,21.0786041789088,,,
