SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
37,pqh,Male,20,Right,3,5,6,4,9.83156259999987,9.83156259999987,4,1
37,pqh,Male,20,Right,2,3,4,2,10.2089025,10.0202325499999,3,1
37,pqh,Male,20,Right,1,1,2,2,31.3264639999998,17.1223096999999,2.66666666666667,1
37,pqh,Male,20,Right,3,5,6,0,6.17273440000008,6.17273440000008,0,2
37,pqh,Male,20,Right,1,1,2,0,8.20845920000011,7.19059680000009,0,2
37,pqh,Male,20,Right,2,3,4,0,7.74080460000005,7.37399940000008,0,2
37,pqh,Male,20,Right,3,5,6,1,35.9978343000003,35.9978343000003,1,3
37,pqh,Male,20,Right,2,3,4,0,3.40348399999993,19.7006591500001,0.5,3
37,pqh,Male,20,Right,1,1,2,0,7.54021379999995,15.6471773666667,0.333333333333333,3
37,pqh,Male,20,Right,1,1,2,0,7.52337579999994,7.52337579999994,0,4
37,pqh,Male,20,Right,3,5,6,0,14.0286603,10.7760180499999,0,4
37,pqh,Male,20,Right,2,3,4,0,8.37459979999994,9.97554529999995,0,4
37,pqh,Male,20,Right,2,3,4,0,3.78728020000017,3.78728020000017,0,5
37,pqh,Male,20,Right,3,5,6,1,33.9960923999997,18.8916862999999,0.5,5
37,pqh,Male,20,Right,1,1,2,0,3.7873698999997,13.8569141666665,0.333333333333333,5
37,pqh,Male,20,Right,1,1,2,0,4.00400570000011,4.00400570000011,0,6
37,pqh,Male,20,Right,2,3,4,0,2.20271420000017,3.10335995000014,0,6
37,pqh,Male,20,Right,3,5,6,0,7.75695300000007,4.65455763333345,0,6
