SubNo,date,n_files,n_trials,n_faces,faces_observed,square_side_median,square_side_mean,square_side_sd,square_side_min,square_side_max,square_side_px,square_side_rmse_px,square_side_max_abs_error_px
2,2026-03-27,5,28,6,1 2 3 4 5 6,373.4437985116896,373.1489161649145,0.7652640180762561,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-28,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-29,4,19,6,1 2 3 4 5 6,373.7343656938654,373.80609178543864,0.8645216905803585,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-27,3,13,6,1 2 3 4 5 6,373.792830298896,374.00433699436786,0.9165320417193806,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-28,1,11,6,1 2 3 4 5 6,373.6803696601195,373.85055698199284,0.8884476736029804,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-29,4,28,6,1 2 3 4 5 6,217.86492374727666,217.96984702189278,0.702379407889369,216.64050235478805,219.37086092715234,218,0.0,0.0
8,2026-03-27,6,40,6,1 2 3 4 5 6,373.4437985116896,373.18278181289236,0.7201580470191672,371.28712871287127,373.9272578667756,373,0.0,0.0
8,2026-03-28,2,10,6,1 2 3 4 5 6,373.792830298896,374.0462207544107,1.0324661811272293,372.51655629139077,376.2376237623762,374,0.0,0.0
8,2026-03-29,3,22,6,1 2 3 4 5 6,373.7343656938654,373.8506396890211,0.8875309225866512,372.51655629139077,376.2376237623762,374,0.0,0.0
9,2025-11-23,3,18,6,1 2 3 4 5 6,400.5151320025757,400.45287369674924,0.7803629153275897,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-24,5,31,6,1 2 3 4 5 6,400.4903964037597,400.3820662474334,0.8087550863393209,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-25,3,28,6,1 2 3 4 5 6,400.4903964037597,400.3719410478731,0.7795661152737252,398.7441130298273,401.5776263893868,400,0.0,0.0
10,2026-03-27,2,39,6,1 2 3 4 5 6,373.4437985116896,373.18143067544537,0.7217326337997112,371.28712871287127,373.9272578667756,373,0.0,0.0
10,2026-03-28,1,7,6,1 2 3 4 5 6,373.792830298896,373.97892385919516,1.0616068946017456,372.51655629139077,376.2376237623762,374,0.0,0.0
10,2026-03-29,3,21,6,1 2 3 4 5 6,373.4437985116896,373.2186692254066,0.669915095237388,371.28712871287127,373.9272578667756,373,0.0,0.0
11,2025-11-23,4,24,6,1 2 3 4 5 6,400.5151320025757,400.44843778022886,0.8042931824172224,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-24,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-25,4,24,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.7869884956237757,398.7441130298273,401.5776263893868,400,0.0,0.0
12,2026-04-10,4,36,6,1 2 3 4 5 6,373.4437985116896,373.19016940115165,0.6997082196282456,371.28712871287127,373.9272578667756,373,0.0,0.0
12,2026-04-11,2,12,6,1 2 3 4 5 6,312.9871674904207,313.01710358331457,0.7394176459972415,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-12,5,33,6,1 2 3 4 5 6,312.94269156471347,312.9794471846987,0.6961813138840662,311.88118811881185,314.5695364238411,313,0.0,0.0
13,2025-12-04,3,21,6,1 2 3 4 5 6,400.4266658212515,400.3145324288033,0.7957095248482016,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-05,2,9,6,1 2 3 4 5 6,400.50276420316766,400.47222183141844,0.7437633998806449,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-06,8,34,6,1 2 3 4 5 6,400.4903964037597,400.3494135632634,0.8037577989777843,398.7441130298273,401.5776263893868,400,0.0,0.0
14,2026-04-10,5,79,6,1 2 3 4 5 6,373.6803696601195,373.777066971998,0.8520201402551685,372.51655629139077,376.2376237623762,374,0.0,0.0
14,2026-04-11,2,24,6,1 2 3 4 5 6,312.94269156471347,312.9515450278081,0.7124570991118623,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-12,4,75,6,1 2 3 4 5 6,313.0316434161279,313.0405547283816,0.7345323110076611,311.88118811881185,314.5695364238411,313,0.0,0.0
15,2025-12-04,3,14,6,1 2 3 4 5 6,400.4903964037597,400.3753106987754,0.7422991890083281,398.7441130298273,401.5776263893868,400,0.0,0.0
15,2025-12-05,5,17,6,1 2 3 4 5 6,400.52558267788106,400.5771464471967,0.7463034017634047,398.7441130298273,401.5776263893868,400,0.0,0.0
15,2025-12-06,11,31,6,1 2 3 4 5 6,400.4903964037597,400.36535938443205,0.7474225920770977,398.7441130298273,401.5776263893868,400,0.0,0.0
16,2026-04-10,2,13,6,1 2 3 4 5 6,313.0316434161279,313.08704732474774,0.7727521844515626,311.88118811881185,314.5695364238411,313,0.0,0.0
16,2026-04-11,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
16,2026-04-12,4,21,6,1 2 3 4 5 6,312.9871674904207,313.0040706729117,0.7230320448856433,311.88118811881185,314.5695364238411,313,0.0,0.0
17,2025-12-04,2,164,6,1 2 3 4 5 6,400.50276420316766,400.4238832220359,0.7752314196217949,398.7441130298273,401.5776263893868,400,0.0,0.0
17,2025-12-05,1,33,6,1 2 3 4 5 6,400.50276420316766,400.4042399140116,0.7974754808434457,398.7441130298273,401.5776263893868,400,0.0,0.0
17,2025-12-06,3,18,6,1 2 3 4 5 6,400.50276420316766,400.4235671593948,0.7897941676087351,398.7441130298273,401.5776263893868,400,0.0,0.0
18,2026-04-10,4,17,6,1 2 3 4 5 6,312.94269156471347,312.97903386353494,0.7341547879740865,311.88118811881185,314.5695364238411,313,0.0,0.0
18,2026-04-11,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
18,2026-04-12,5,32,6,1 2 3 4 5 6,312.94269156471347,312.9419154234308,0.7050012437434046,311.88118811881185,314.5695364238411,313,0.0,0.0
20,2026-04-10,6,27,6,1 2 3 4 5 6,312.94269156471347,312.9557560076541,0.7334007562111228,311.88118811881185,314.5695364238411,313,0.0,0.0
20,2026-04-11,4,19,6,1 2 3 4 5 6,312.9871674904207,313.00016754122976,0.6869332282605922,311.88118811881185,314.5695364238411,313,0.0,0.0
20,2026-04-12,4,20,6,1 2 3 4 5 6,312.94269156471347,312.9710597655789,0.7219874362926143,311.88118811881185,314.5695364238411,313,0.0,0.0
21,2025-12-07,3,57,6,1 2 3 4 5 6,400.50276420316766,400.4296555047769,0.7727937556772214,398.7441130298273,401.5776263893868,400,0.0,0.0
21,2025-12-08,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
21,2025-12-09,3,18,6,1 2 3 4 5 6,400.50276420316766,400.4235671593948,0.7897941676087352,398.7441130298273,401.5776263893868,400,0.0,0.0
23,2025-12-07,1,13,6,1 2 3 4 5 6,400.4903964037597,400.3246034462561,0.846621478168081,398.7441130298273,401.5776263893868,400,0.0,0.0
23,2025-12-08,1,13,6,1 2 3 4 5 6,400.50276420316766,400.4479272015052,0.7710964077295722,398.7441130298273,401.5776263893868,400,0.0,0.0
23,2025-12-09,3,19,6,1 2 3 4 5 6,400.4903964037597,400.3971671311943,0.7765018407557085,398.7441130298273,401.5776263893868,400,0.0,0.0
29,2026-03-14,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
29,2026-03-15,2,18,6,1 2 3 4 5 6,373.4437985116896,373.1902199443356,0.7119905628257074,371.28712871287127,373.9272578667756,373,0.0,0.0
29,2026-03-16,3,19,6,1 2 3 4 5 6,373.4437985116896,373.15953433094023,0.7688490824339487,371.28712871287127,373.9272578667756,373,0.0,0.0
31,2026-03-14,4,143,6,1 2 3 4 5 6,373.7343656938654,373.79176047035884,0.8639172531175162,372.51655629139077,376.2376237623762,374,0.0,0.0
31,2026-03-15,3,28,6,1 2 3 4 5 6,373.6803696601195,373.83865285012973,0.8772079170348934,372.51655629139077,376.2376237623762,374,0.0,0.0
31,2026-03-16,3,22,6,1 2 3 4 5 6,373.7343656938654,373.8506396890211,0.8875309225866512,372.51655629139077,376.2376237623762,374,0.0,0.0
35,2025-07-18,6,61,6,1 2 3 4 5 6,373.4437985116896,373.1905094752624,0.7000212046391536,371.28712871287127,373.9272578667756,373,0.0,0.0
