SubNo,subject_label,n_trials,slope_rt_per_trial,intercept_rt,pearson_r,linreg_p_value,linreg_stderr,spearman_rho,spearman_p_value
2,S02,6,-1.4425548828571664,9.509387940000122,-0.8440169649372633,0.034598472061799376,0.45832369726054256,-0.7714285714285715,0.07239650145772594
6,S06,12,-1.3228961349650252,17.118790560606037,-0.5088244079481611,0.09114416180601405,0.7077755416329438,-0.3636363636363637,0.2452650007307772
8,S08,30,-0.07894479263626115,8.66624877586208,-0.13950982834147044,0.4621780273776952,0.10589407549514607,-0.35795328142380417,0.05211466879340193
9,S09,15,0.03180680178573211,6.285224249047381,0.05386798816306562,0.8487862217353823,0.16352589888221206,-0.08928571428571427,0.751672517350277
10,S10,18,-0.4007386284829726,9.451868237254907,-0.6347225732067614,0.0046587885105847035,0.12196935286461108,-0.7048503611971104,0.0010886663167765575
11,S11,36,0.09937642625697887,3.079283461004957,0.4042566708150286,0.014471964213611237,0.038560225317417256,0.5009009009009009,0.001860617809190522
12,S12,15,-1.1992995296428637,19.139672823809526,-0.6046530208661062,0.016948908453608365,0.438156785327472,-0.7642857142857141,0.0009073101116849778
13,S13,21,-1.1673922928571365,26.329702754761847,-0.627694759032442,0.00231670007068169,0.3321448907621506,-0.7155844155844155,0.000265253062651376
14,S14,6,-0.5767412828570485,5.92794813999887,-0.513265307957551,0.29770967198163834,0.4821840288086997,-0.3714285714285715,0.46847813411078715
15,S15,3,-1.60492790000012,6.556800433333743,-0.8716116522715033,0.32615036185131546,0.9026163049997946,-1.0,0.0
16,S16,21,-1.416426361688305,25.432577488095145,-0.590011525129183,0.004871983339781959,0.4446749509132257,-0.7532467532467532,8.09608562258038e-05
17,S17,12,-1.8866449856643965,23.034344215152235,-0.748117657825917,0.005136474688504061,0.5291812788215216,-0.7342657342657343,0.006543490146837885
18,S18,18,-0.19392654220845737,7.270566184313745,-0.41565192902077797,0.0862568364929689,0.10608683969312684,-0.43653250773993807,0.07010903657780519
20,S20,24,-0.4529749093478239,12.985511404347832,-0.5207458844263275,0.009080384391661825,0.15832453109569344,-0.6278260869565216,0.0010215888850385873
21,S21,12,-0.13981096328674128,4.803967586363658,-0.3618846197587977,0.24771665969843823,0.1138913828172402,-0.27272727272727276,0.3910967709418962
23,S23,36,-0.20845277822394082,9.107260863809568,-0.3089136330970065,0.06677343755285246,0.11006590590733624,0.007464607464607464,0.9655360886490783
29,S29,30,-0.18920549617353483,10.531539614023071,-0.49469918631468385,0.005451713711582149,0.06281529939413671,-0.5314794215795328,0.0025083847184484372
31,S31,12,-0.5372411832167882,12.628476690909135,-0.3218412789006127,0.3076508650299805,0.49978461406815994,-0.5034965034965035,0.09515736659412469
35,S35,6,-2.0298916599999126,14.571098826666162,-0.7002739414268335,0.12129051361485166,1.0346574724683444,-0.4285714285714286,0.3965014577259474
37,S37,18,-0.452668326831784,15.738766366013053,-0.22587690109496503,0.36745923375842005,0.4880639607507407,-0.40350877192982454,0.09680965248246652
39,S39,9,-1.7482245700000014,15.729660127777855,-0.7006283251203429,0.035532326655547904,0.6729310476707963,-0.5166666666666667,0.1543901209862251
41,S41,3,-1.8847355500001899,7.933252233333413,-0.8232201177815923,0.38435054162717625,1.2997817039558606,-0.5,0.6666666666666667
43,S43,15,-0.35529688178571855,8.121970154285798,-0.5683249215129664,0.027073543532204997,0.1426656861123913,-0.5142857142857142,0.04983923347142064
45,S45,3,-2.063720200000035,8.901206599999874,-0.8900609031963398,0.3013233228118801,1.056927194052421,-1.0,0.0
47,S47,15,-0.44626521142856984,9.30378303809521,-0.5905819638659063,0.02044638984974976,0.16912300596423285,-0.6285714285714286,0.012079539175905742
49,S49,12,-1.3203625769230471,16.426366116666447,-0.6718329579481277,0.01671873595272754,0.46033693737938236,-0.7342657342657343,0.006543490146837885
