SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
2,S02,1,9.66173389999994,1,2,3,4,1.0,9.66173389999994,1.0,2026-03-29,SPtask1-2-2026-03-29.csv
2,S02,2,7.22304320000012,1,1,1,2,0.0,8.44238855000003,0.5,2026-03-29,SPtask1-2-2026-03-29.csv
2,S02,3,2.18596060000027,1,3,5,6,0.0,6.35691256666678,0.333333333333333,2026-03-29,SPtask1-2-2026-03-29.csv
2,S02,4,2.71974339999997,2,3,5,6,0.0,2.71974339999997,0.0,2026-03-29,SPtask1-2-2026-03-29.csv
2,S02,5,2.95318730000008,2,1,1,2,0.0,2.83646535000003,0.0,2026-03-29,SPtask1-2-2026-03-29.csv
2,S02,6,2.01900669999986,2,2,3,4,0.0,2.56397913333331,0.0,2026-03-29,SPtask1-2-2026-03-29.csv
6,S06,1,34.4717184000001,1,2,3,4,4.0,34.4717184000001,4.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,2,1.49712599999975,1,1,1,2,0.0,17.9844221999999,2.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,3,8.3563094000001,1,3,5,6,2.0,14.7750512666667,2.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,4,3.32367290000002,2,3,5,6,0.0,3.32367290000002,0.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,5,9.00192640000023,2,1,1,2,2.0,6.16279965000012,1.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,6,12.0918938999998,2,2,3,4,4.0,8.13916440000003,2.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,7,16.7413744,3,3,5,6,3.0,16.7413744,3.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,8,4.14899639999976,3,2,3,4,0.0,10.4451853999999,1.5,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,9,2.80290140000034,3,1,1,2,0.0,7.89775740000005,1.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,10,4.30761640000037,4,3,5,6,0.0,4.30761640000037,0.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,11,2.64390940000021,4,1,1,2,0.0,3.47576290000029,0.0,2026-03-29,SPtask1-6-2026-03-29.csv
6,S06,12,2.85214319999977,4,2,3,4,0.0,3.26788966666678,0.0,2026-03-29,SPtask1-6-2026-03-29.csv
8,S08,1,9.4977472999999,1,2,3,4,1.0,9.4977472999999,1.0,2026-03-29,SPtask1-8-2026-03-29.csv
8,S08,2,15.0793917000001,1,1,1,2,2.0,12.2885695,1.5,2026-03-29,SPtask1-8-2026-03-29.csv
8,S08,3,15.3634579,1,3,5,6,2.0,13.3135323,1.66666666666667,2026-03-29,SPtask1-8-2026-03-29.csv
