SubNo,type,correct_trials,total_trials,accuracy,mean_rt,type_label_en,type_label_zh,parity_rule_en,parity_rule_zh
2,1,15,16,0.9375,0.45033993597076005,Same-village distance judgment,同村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
2,3,16,16,1.0,0.53457929801246,Cross-village distance judgment,异村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
6,1,16,16,1.0,0.8005196859559476,Same-village distance judgment,同村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
6,3,15,16,0.9375,1.8976311876274394,Cross-village distance judgment,异村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
8,1,16,16,1.0,1.361505758314678,Same-village distance judgment,同村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
8,3,15,16,0.9375,1.403557483530065,Cross-village distance judgment,异村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
9,1,16,16,1.0,1.240231486536885,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
9,3,15,16,0.9375,2.366241059533877,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
10,1,16,16,1.0,0.6089518580308209,Same-village distance judgment,同村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
10,3,15,16,0.9375,0.5654449035530433,Cross-village distance judgment,异村庄距离判别,"Even SubNo: AC = near, AB = far",偶数被试：AC = 近，AB = 远
11,1,15,16,0.9375,0.9751869747250339,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
11,3,16,16,1.0,1.573802344646424,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
