scope,contrast,n_subjects,method,mean_diff,sd_diff,normality_shapiro_p,statistic,p_value
relationship,different - same,26,paired t-test,-0.2871805814230931,0.6354571118810943,0.2684521559577739,-2.304387442083232,0.029788894232934873
nested_distance,far - near,26,paired t-test,0.013450686967095952,0.40870597767417244,0.9725083681449764,0.16781089355910475,0.8680821963631269
nested_distance,unknown - near,26,paired t-test,0.08710550115499771,0.47179052699735086,0.29453067383491893,0.9414191780351413,0.355498738861992
nested_distance,unknown - far,26,Wilcoxon signed-rank test,0.07365481418790176,0.6002434745892241,0.00024159106474716676,169.0,0.8809217512607574
condition,near - same,26,paired t-test,-0.3206993107971243,0.6231947326430602,0.6883538306683861,-2.6239824537908887,0.01460265114318921
condition,far - same,26,Wilcoxon signed-rank test,-0.3072486238300284,0.7323543061510313,0.0075274980185895,108.0,0.08902901411056519
condition,unknown - same,26,paired t-test,-0.23359380964212662,0.7325815681784286,0.6749030821436038,-1.6258932047408214,0.11651363910035002
condition,far - near,26,paired t-test,0.013450686967095952,0.40870597767417244,0.9725083681449764,0.16781089355910475,0.8680821963631269
condition,unknown - near,26,paired t-test,0.08710550115499771,0.47179052699735086,0.29453067383491893,0.9414191780351413,0.355498738861992
condition,unknown - far,26,Wilcoxon signed-rank test,0.07365481418790176,0.6002434745892241,0.00024159106474716676,169.0,0.8809217512607574
