SubNo,distance_nested,d_error_0to10,n_trials
2,far,0.213816514765584,16
2,near,-0.3224064868643761,16
2,unknown,0.023577755585406868,16
6,far,-0.15043089400144502,16
6,near,-0.40910650608771715,16
6,unknown,-0.30702141963386453,16
8,far,0.1958038246110727,16
8,near,0.23856011950036352,16
8,unknown,0.5377522989163412,16
9,far,-0.23828646541341236,16
9,near,0.2539267792753275,16
9,unknown,0.02367169764512933,16
10,far,-0.5679203666035004,16
10,near,-0.31987070526845607,16
10,unknown,-0.2116538755700154,16
11,far,0.10970671405634183,16
11,near,-0.18982283338865927,16
11,unknown,0.5852277677918793,16
12,far,-0.577758899914197,16
12,near,-0.47678262080202904,16
12,unknown,-0.2873004457264114,16
13,far,0.12692724677833128,16
13,near,-0.2060350685320511,16
13,unknown,-0.38295090756381545,16
14,far,0.22104873023255933,16
14,near,-0.32122766300374095,16
14,unknown,-0.25753087236445027,16
15,far,-2.615083496792321,16
15,near,-2.5475439290994304,16
15,unknown,-3.0934302400907203,16
16,far,0.6408487565893649,16
16,near,-0.31225391711482225,16
16,unknown,0.5063246064883296,16
17,far,-2.639316598029065,16
17,near,-1.7794926778098659,16
17,unknown,-0.3614941547450696,16
18,far,-0.7702204753885858,16
18,near,-0.06666735226184936,16
18,unknown,-0.7974784629856821,16
20,far,0.5158708678400868,16
20,near,0.23784002245802,16
20,unknown,0.06095106798034902,16
21,far,0.12858222444687822,16
21,near,-0.390343483123366,16
21,unknown,-0.12770312502948128,16
23,far,-1.1315842857158858,16
23,near,-1.0314820558609659,16
23,unknown,-0.8041168437715502,16
29,far,-0.5410802884648597,16
29,near,-0.22885009025833924,16
29,unknown,-0.26648366092938264,16
31,far,0.5418424925101286,16
31,near,0.4831435426821414,16
31,unknown,0.7879927892097032,16
35,far,-0.06566688498583095,16
35,near,-0.1341145234422136,16
35,unknown,-0.4562874655426985,16
37,far,0.10522154539955553,16
37,near,-0.04638081081087114,16
37,unknown,-0.5388998392887799,16
39,far,-0.34695802654604446,16
39,near,-0.47439257260183015,16
39,unknown,-0.6882386058566634,16
41,far,0.08462256072035473,16
41,near,0.1308594831037423,16
41,unknown,0.34570840569503963,16
43,far,0.03645342862178774,16
43,near,0.021093885870355628,16
43,unknown,-0.33235339810819925,16
45,far,0.3121343346335518,16
45,near,0.7637849421334902,16
45,unknown,1.370548886082749,16
47,far,-0.931795417410969,16
47,near,-0.5322445292559649,16
47,unknown,-0.8479520656475042,16
49,far,-0.2211455942929562,16
49,near,-0.25427726293486186,16
49,unknown,-0.13020317600866788,16
