SubNo,relationship,d_error_0to10,n_trials
2,different,-0.02833740550446175,48
2,same,-0.24422924163093504,12
6,different,-0.2888529399076756,48
6,same,0.2245230361286138,12
8,different,0.32403874767592583,48
8,same,0.23825567292704175,12
9,different,0.01310400383568148,48
9,same,0.9425806471983083,12
10,different,-0.36648164914732395,48
10,same,-0.09725050201342651,12
11,different,0.16837054948652064,48
11,same,0.022909892080681282,12
12,different,-0.4472806554808792,48
12,same,-0.15593327071480503,12
13,different,-0.15401957643917843,48
13,same,-0.11848708699711363,12
14,different,-0.11923660171187729,48
14,same,0.1479579527203385,12
15,different,-2.752019221994157,48
15,same,-0.9915736206515245,12
16,different,0.27830648198762403,48
16,same,0.39275385106397337,12
17,different,-1.5934344768613335,48
17,same,-0.015013431031435376,12
18,different,-0.5447887635453724,48
18,same,-0.4401221242421774,12
20,different,0.2715539860928186,48
20,same,-0.003537292361644314,12
21,different,-0.129821461235323,48
21,same,0.5052871784876727,12
23,different,-0.9890610617828006,48
23,same,-0.5052169178830832,12
29,different,-0.34547134655086054,48
29,same,-0.5178052688437349,12
31,different,0.6043262748006577,48
31,same,0.42734970403887,12
35,different,-0.21868962465691433,48
35,same,1.1545720410432556,12
37,different,-0.1600197015666985,48
37,same,0.4792559045433615,12
39,different,-0.5031964016681792,48
39,same,-0.01284609355297526,12
41,different,0.18706348317304555,48
41,same,-0.5425673474413948,12
43,different,-0.09160202787201861,48
43,same,-0.27462518483405857,12
45,different,0.8154893876165971,48
45,same,-0.09561399920285756,12
47,different,-0.7706640041048126,48
47,same,-0.1053121156256271,12
49,different,-0.201875344412162,48
49,same,0.008783384021939159,12
