raw_village_pair,pair_condition,estimate_type,n_subjects,mean_center_x_0to10,mean_center_y_0to10,median_center_x_0to10,median_center_y_0to10,mean_distance_to_true,median_distance_to_true
AB,far,cross_edges,9,5.037380283294671,7.025829743737659,5.013404825737265,7.050938337801609,0.42003381970548187,0.38740934849926323
AB,near,cross_edges,17,5.10764166695988,6.656723578838752,5.099123158979454,6.820756907450644,0.9049842257313729,0.6446039291990231
AB,far,same_edges,9,5.153491272624669,6.9646813813178134,4.986595174262734,7.02240799123102,0.5272967885849601,0.4519186691911562
AB,near,same_edges,17,5.216125944022216,6.726191709853488,5.109286891634115,6.916890080428955,0.7274901210150342,0.6170720301291953
AC,far,cross_edges,17,4.290249801684465,4.28922619011744,4.310856563426495,4.304812834224599,0.7253870775059829,0.5483857950924491
AC,near,cross_edges,9,4.621335456495931,4.381105260048942,4.438502673796791,4.396782841823057,0.5869561609424616,0.17679638348976473
AC,far,same_edges,17,4.298744727531917,4.42768049796572,4.46524064171123,4.545454545454545,1.0200419539383554,0.7910833699700142
AC,near,same_edges,9,4.605764318793549,4.560690714247049,4.518716577540107,4.367511496744138,0.7601783576286274,0.452210432170011
BC,unknown,cross_edges,26,6.61680430881405,4.992751733494207,6.975653679326633,5.056589384131608,0.9546593723608765,0.5961506007645518
BC,unknown,same_edges,26,6.783139666457042,5.089267175207344,7.044436350513777,5.148592762390745,0.8131175889317965,0.5151213218244892
