SubNo,source,schema,face,village,ability_pct,warmth_pct,actual_ability,actual_warmth,projected_ability,projected_warmth,true_ability,true_warmth,delta_ability,delta_warmth,euclidean_error
2,MRtask-2-2026-03-29.mat,warmth_ability,1,1,29.130434782608695,47.3469387755102,67.0,232.0,2.913043478260869,4.73469387755102,2.416,4.788,0.49704347826086925,-0.05330612244897992,0.49989375068329156
2,MRtask-2-2026-03-29.mat,warmth_ability,2,1,36.52173913043478,73.87755102040816,84.0,362.0,3.6521739130434785,7.387755102040816,2.789,7.765,0.8631739130434783,-0.3772448979591836,0.942010040920491
2,MRtask-2-2026-03-29.mat,warmth_ability,3,2,70.43478260869566,87.55102040816325,162.0,428.99999999999994,7.043478260869565,8.755102040816325,6.426,8.527,0.6174782608695653,0.22810204081632612,0.6582628226408322
2,MRtask-2-2026-03-29.mat,warmth_ability,4,2,89.13043478260869,62.857142857142854,205.0,308.0,8.91304347826087,6.285714285714286,8.817,6.716,0.09604347826086901,-0.4302857142857146,0.44087429686341845
2,MRtask-2-2026-03-29.mat,warmth_ability,5,3,56.95652173913044,23.46938775510204,131.0,115.0,5.695652173913044,2.3469387755102042,4.894,2.02,0.8016521739130438,0.3269387755102042,0.8657569929672071
2,MRtask-2-2026-03-29.mat,warmth_ability,6,3,79.56521739130434,30.612244897959183,183.0,150.0,7.956521739130435,3.0612244897959187,7.659,3.185,0.2975217391304348,-0.1237755102040814,0.32224146564568495
6,MRtask-6-2026-03-29.mat,warmth_ability,1,1,34.464285714285715,48.62068965517241,96.5,141.0,3.446428571428571,4.862068965517241,2.416,4.788,1.0304285714285712,0.07406896551724085,1.033087243396762
6,MRtask-6-2026-03-29.mat,warmth_ability,2,1,21.964285714285715,70.0,61.5,203.0,2.196428571428571,7.0,2.789,7.765,-0.592571428571429,-0.7649999999999997,0.967660011553223
6,MRtask-6-2026-03-29.mat,warmth_ability,3,2,63.39285714285714,83.44827586206897,177.5,242.0,6.3392857142857135,8.344827586206897,6.426,8.527,-0.08671428571428663,-0.18217241379310245,0.20175766576302442
6,MRtask-6-2026-03-29.mat,warmth_ability,4,2,86.60714285714286,60.3448275862069,242.5,175.0,8.660714285714286,6.0344827586206895,8.817,6.716,-0.1562857142857137,-0.6815172413793107,0.6992073903979144
6,MRtask-6-2026-03-29.mat,warmth_ability,5,3,49.82142857142857,20.689655172413794,139.5,60.0,4.982142857142858,2.0689655172413794,4.894,2.02,0.08814285714285752,0.04896551724137943,0.10083047725773203
6,MRtask-6-2026-03-29.mat,warmth_ability,6,3,78.39285714285714,30.344827586206897,219.5,88.0,7.839285714285714,3.0344827586206895,7.659,3.185,0.1802857142857146,-0.15051724137931055,0.23485820983722913
8,MRtask-8-2025-07-19.mat,warmth_ability,1,3,16.51270207852194,49.6551724137931,71.5,216.0,1.651270207852194,4.9655172413793105,2.416,4.788,-0.764729792147806,0.17751724137931024,0.7850630713422628
8,MRtask-8-2025-07-19.mat,warmth_ability,2,1,28.060046189376443,82.06896551724138,121.5,357.0,2.806004618937644,8.206896551724137,2.789,7.765,0.017004618937643823,0.44189655172413733,0.4422236080207587
8,MRtask-8-2025-07-19.mat,warmth_ability,3,2,75.4041570438799,87.58620689655172,326.5,380.99999999999994,7.540415704387991,8.75862068965517,6.426,8.527,1.1144157043879908,0.23162068965517157,1.138231306045884
8,MRtask-8-2025-07-19.mat,warmth_ability,4,2,87.87528868360278,76.0919540229885,380.5,331.0,8.787528868360276,7.609195402298851,8.817,6.716,-0.029471131639724035,0.8931954022988506,0.8936814724989723
8,MRtask-8-2025-07-19.mat,warmth_ability,5,3,49.07621247113164,15.632183908045977,212.5,68.0,4.907621247113164,1.5632183908045976,4.894,2.02,0.013621247113164259,-0.45678160919540245,0.45698465715170267
8,MRtask-8-2025-07-19.mat,warmth_ability,6,1,82.5635103926097,22.06896551724138,357.5,96.00000000000001,8.25635103926097,2.2068965517241383,7.659,3.185,0.5973510392609702,-0.9781034482758617,1.1460866545053618
9,MRtask-9-2025-11-25.mat,legacy_xy,1,1,24.897959183673468,40.0,122.0,160.0,2.4897959183673466,4.0,2.416,4.788,0.07379591836734667,-0.7880000000000003,0.7914479373702862
